user_id,playlist_id,playlist_name,list_tracks
1143712087,1510357648,Late night vibes,"[263672702, 434246076, 742421113, 1359834337, 1258395574, 1275875767, 1284949321, 1364887309, 1192794778, 235684965, 306481809, 381320963, 1179330556, 1188063799, 1184751883, 639260157, 497347761, 624433812, 1272150436, 608785542, 1179187987, 1257776623, 543819237, 543819201, 526908681, 402893568, 606363216, 460710552, 289067161, 688825177, 289067151, 513343896, 327026115, 327026110, 274343453, 231712962, 255052488, 255843041, 892455232, 871508269, 892455304, 1031055412, 299077539, 781746028, 244436345, 311629377, 897648580, 253876161, 253876259, 128778707, 202631934, 34517808, 214127881, 113662676, 1177926796, 1150347685, 1301739169, 1284733021, 1304428330, 944991541, 334324723, 157033127]"
1058789416,1483309765,✌️,"[1154352223, 30668857, 1014716809, 1238264956, 1256200219, 59240029, 1319069065, 45058527, 329664413, 284700785, 1055941417, 221081689, 1211690956, 1281813523, 345376237, 1266790180, 1239456193, 643774746, 333693637, 870700741, 444031347, 247384611, 489730818, 728176279, 847396084, 348180124, 1275047767, 403653333, 1215909469, 996332146, 590296800, 1209335848, 1154598160, 238054327, 1251048610, 1220720377, 948042250, 1075800421, 1221793306, 1091657155, 948229852, 66998797, 222238653, 1024713994, 735430348, 412652400, 1230731344, 1136452399, 1063912189, 611533452, 125410977, 998728345, 336185702, 266776333, 1257828847, 232522567, 1037109919, 325185441, 268367845, 990718837, 957871936, 645627777, 337295748]"
849960739,1534900357,Gym Playlist,[754685644]
755261734,1053890287,🖤,"[311099101, 331753552, 261557781, 512130789, 639162771, 266096813, 341066151, 512131044, 512130987, 248259925, 339352393]"
168506624,1505469820,Summ-her,"[1344347542, 1212403990, 661428239, 127392086, 110920646, 9773687, 160811947, 1358110144, 258599577, 255769529, 255769759, 1222011976, 1285401157, 25750744, 220273900, 590096274, 1233232267, 1358636986, 252797301, 259054953, 1357358299, 1305714436, 1297325677, 1321688611, 1331417728, 1300468066, 1052231557, 7937071, 486567183, 807662491, 1381438447, 1385240074, 1233402733, 1152173176, 1163810782, 989860927, 1350635689, 1300082797, 1300760443, 1269584005, 1285613989, 1018174309, 597146220]"
168506624,1430507176,Ho me,"[701179420, 621807729, 708018196, 107897494, 1162750714, 759917833, 285001146, 596832939, 43886516, 938488774, 396530439, 1104731155, 897174484, 992772541, 1204727218, 422752980, 1249388614, 746236933, 1203985459, 325519648, 1130779612, 1257738940, 5490684, 1256475946, 1213853305, 1233038278, 1267673731, 1273094863, 643004364, 1026369511, 1034721712, 608385390, 1108996396, 652585262, 876042865, 928177873, 850506619, 13420836, 1026384631, 1165506259, 1144489849, 1287774247, 1275954649, 1311116647, 1307611822, 1289075239, 1118448274, 5552681, 1066159183, 1318966390, 1016625586, 1304947735, 1258541266, 1253504737, 1322652760, 1328153566, 1319115313, 123173738, 1333566004, 256241332, 815316013, 1233701350, 133306517]"
168506624,1397879839,2022vibbbbeeesa bby,"[16683323, 258266293, 266747130, 253259621, 258954353, 258954379, 976749235, 181304708, 189410089, 28252828, 201722817, 706657942, 897174484, 1104731155, 894977947, 396530439, 935547220, 938488774, 1233522076, 144024524, 1213251322, 43886516, 596832939, 866100802, 252796626, 1048163956, 251651195, 121170928, 862838266, 911356306, 621807729, 701179420, 1187669575, 1110934075, 810141970, 708018196, 1243089739, 1242977998, 1243910491, 1243119586, 107897494, 187011368, 1037061586, 789345259, 1153588195, 1162750714, 186773532, 550117473, 221989469, 564551526, 527896263, 1166741041, 1120592971, 759917833, 253430771, 285001146, 1253504737, 1070984, 44175510, 1255039336, 1232208697, 1181542672, 235553622, 294691667, 939716563, 1130779612, 1257738940, 5490684, 8939371, 11949128]"
168506624,1380336439,Sunday vibes,"[158937589, 220860337, 163001343, 1122093568, 256144134, 256144090, 256144097, 284874584, 37326856, 23261601, 142016109, 3113441, 271223837, 134977987, 48530080, 42795644, 1253504737]"
168506624,1365413461,👌 faves,"[659424254, 992772541, 1158673315, 1105816471, 1130199430, 1179886744, 855429076, 1155194503, 872750425, 328351977, 1011291937, 1138856173, 705748438, 936269014, 316020642, 321696494, 1154126812, 1167564130, 1145379583, 955801555, 704922568, 1154745352, 42795644, 183624239, 1160754490, 107310727, 95223130, 119761940, 117140877, 896515147, 547009419, 148986324, 1033497832, 251243574, 552570963, 591354774, 1104731155, 1213164037, 600964365, 463437972, 16683323, 258266293]"
168506624,1352792572,wild bitta gearr,"[1117988359, 225015100, 1139626417, 836224969, 832701847, 215872233, 966036478, 471251166, 795977071, 1130199430, 1087858399, 1138168309, 818014279, 235553622, 914163019, 1106396299, 989860927, 923553082, 2109565, 242190818, 1092017053, 1095578191, 1145389168, 1105816471, 1112730574, 1135684798, 1158673315, 1011613786, 3934036, 1060973443, 1154042386, 1145326603, 687450820, 771538660, 1154146258, 1155774481, 899063485, 855973963, 109172103, 659424254, 1079835448, 707525068, 365438342, 894499075, 888120823, 1141401886, 1163810782, 1152173176, 872750425, 1103041243, 1035059125, 992772541, 1140603778, 1011291937, 796844413, 1154126812, 1187669575, 1145379583, 13420836]"
168506624,1346541772,Breadgang babbbyyyy,"[1145934034, 1154042386, 1145326603]"
168506624,1336754584,Mac,"[47106627, 449113329, 280978770, 809385400, 741464800, 29366776, 63461374, 480463263, 43248780, 275364740, 223154306, 737554240, 471040233]"
168506624,1336752349,Dads Mayo,"[559878012, 663383882, 486390087, 480140094, 480138156, 539928828, 486388311, 455024361, 454987380, 450685311, 450683907, 448508070]"
168506624,655753731,Lit fuking shit,"[496495473, 498608133, 464377413]"
168506624,186714680,songs,"[210547786, 222514543, 171487128, 223302802, 40469412, 256158634, 144392242, 871538905, 886572319, 259832210, 268954305, 1033959136, 800607658, 99174097, 222738051, 2216505, 253876860, 255927980, 590096274, 22566515, 1154042386, 1145326603, 1057987291, 1159171657, 964427923, 906241492, 1064867608, 627049254, 244292669, 907547026, 1117716799, 1081434172, 1123869955, 1152683638, 1163889706, 1163843677, 1092017053, 1105941826, 699796741, 1071816517, 1021128136, 225015100, 328351977, 1151104315, 3934036, 648807215, 899063485, 1141401886, 872750425, 50399321, 13420836, 928177873, 1162205956, 701402605, 746236933, 815316013, 527896263, 1066159183, 931955716, 18915775, 874968721, 925666483, 605248695, 74958037, 232952743, 555735291, 100986144, 996539437]"
